ID,x,y,horiz,vert,trayID,rand,dens,richness,rep,SD,spID,comp,state0,day_infected,
ID73,11.645,20.79453607,5,B,4,det,add,1,4,0.5,radish,1,S,18,
ID74,14.445,20.79453607,6,B,4,det,add,1,4,0.5,radish,1,S,15,
ID75,17.245,20.79453607,7,B,4,det,add,1,4,0.5,radish,1,S,,
ID76,20.045,20.79453607,8,B,4,det,add,1,4,0.5,radish,1,S,,
ID77,22.845,20.79453607,9,B,4,det,add,1,4,0.5,radish,1,S,NA,
ID78,1.845,23.2194072,1.5,A,4,det,add,1,4,0.5,radish,1,S,18,
ID79,4.645,23.2194072,2.5,A,4,det,add,1,4,0.5,radish,1,S,18,
ID80,7.445,23.2194072,3.5,A,4,det,add,1,4,0.5,radish,1,S,,
ID81,10.245,23.2194072,4.5,A,4,det,add,1,4,0.5,radish,1,C,6,
ID82,13.045,23.2194072,5.5,A,4,det,add,1,4,0.5,radish,1,S,,
ID83,15.845,23.2194072,6.5,A,4,det,add,1,4,0.5,radish,1,S,,
ID84,18.645,23.2194072,7.5,A,4,det,add,1,4,0.5,radish,1,S,,
ID85,21.445,23.2194072,8.5,A,4,det,add,1,4,0.5,radish,1,S,,
ID1,0.445,1.395567025,1,J,5,det,add,1,5,0.5,radish,1,S,,
ID2,3.245,1.395567025,2,J,5,det,add,1,5,0.5,radish,1,S,,
ID3,6.045,1.395567025,3,J,5,det,add,1,5,0.5,radish,1,S,,
ID4,8.845,1.395567025,4,J,5,det,add,1,5,0.5,radish,1,S,,
ID5,11.645,1.395567025,5,J,5,det,add,1,5,0.5,radish,1,S,,
ID6,14.445,1.395567025,6,J,5,det,add,1,5,0.5,radish,1,S,,
ID7,17.245,1.395567025,7,J,5,det,add,1,5,0.5,radish,1,S,,
ID8,20.045,1.395567025,8,J,5,det,add,1,5,0.5,radish,1,S,,
ID9,22.845,1.395567025,9,J,5,det,add,1,5,0.5,radish,1,S,,
ID10,1.845,3.820438156,1.5,I,5,det,add,1,5,0.5,radish,1,S,,
ID11,4.645,3.820438156,2.5,I,5,det,add,1,5,0.5,radish,1,S,,
ID12,7.445,3.820438156,3.5,I,5,det,add,1,5,0.5,radish,1,S,,
ID13,10.245,3.820438156,4.5,I,5,det,add,1,5,0.5,radish,1,C,,
ID14,13.045,3.820438156,5.5,I,5,det,add,1,5,0.5,radish,1,C,,
ID15,15.845,3.820438156,6.5,I,5,det,add,1,5,0.5,radish,1,S,,
ID16,18.645,3.820438156,7.5,I,5,det,add,1,5,0.5,radish,1,S,,
ID17,21.445,3.820438156,8.5,I,5,det,add,1,5,0.5,radish,1,S,,
ID18,0.445,6.245309287,1,H,5,det,add,1,5,0.5,radish,1,S,,
ID19,3.245,6.245309287,2,H,5,det,add,1,5,0.5,radish,1,S,,
ID20,6.045,6.245309287,3,H,5,det,add,1,5,0.5,radish,1,C,,
ID21,8.845,6.245309287,4,H,5,det,add,1,5,0.5,radish,1,S,,
ID22,11.645,6.245309287,5,H,5,det,add,1,5,0.5,radish,1,C,,
ID23,14.445,6.245309287,6,H,5,det,add,1,5,0.5,radish,1,S,,
ID24,17.245,6.245309287,7,H,5,det,add,1,5,0.5,radish,1,S,,
ID25,20.045,6.245309287,8,H,5,det,add,1,5,0.5,radish,1,S,,
ID26,22.845,6.245309287,9,H,5,det,add,1,5,0.5,radish,1,S,,
ID27,1.845,8.670180417,1.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID28,4.645,8.670180417,2.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID29,7.445,8.670180417,3.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID30,10.245,8.670180417,4.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID31,13.045,8.670180417,5.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID32,15.845,8.670180417,6.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID33,18.645,8.670180417,7.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID34,21.445,8.670180417,8.5,G,5,det,add,1,5,0.5,radish,1,S,,
ID35,0.445,11.09505155,1,F,5,det,add,1,5,0.5,radish,1,C,,
ID36,3.245,11.09505155,2,F,5,det,add,1,5,0.5,radish,1,C,,
ID37,6.045,11.09505155,3,F,5,det,add,1,5,0.5,radish,1,S,,
ID38,8.845,11.09505155,4,F,5,det,add,1,5,0.5,radish,1,S,,
ID39,11.645,11.09505155,5,F,5,det,add,1,5,0.5,radish,1,S,,
ID40,14.445,11.09505155,6,F,5,det,add,1,5,0.5,radish,1,S,,
ID41,17.245,11.09505155,7,F,5,det,add,1,5,0.5,radish,1,S,,
ID42,20.045,11.09505155,8,F,5,det,add,1,5,0.5,radish,1,S,,
ID43,22.845,11.09505155,9,F,5,det,add,1,5,0.5,radish,1,S,,
ID44,1.845,13.51992268,1.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID45,4.645,13.51992268,2.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID46,7.445,13.51992268,3.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID47,10.245,13.51992268,4.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID48,13.045,13.51992268,5.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID49,15.845,13.51992268,6.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID50,18.645,13.51992268,7.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID51,21.445,13.51992268,8.5,E,5,det,add,1,5,0.5,radish,1,S,,
ID52,0.445,15.94479381,1,D,5,det,add,1,5,0.5,radish,1,C,,
ID53,3.245,15.94479381,2,D,5,det,add,1,5,0.5,radish,1,S,,
ID54,6.045,15.94479381,3,D,5,det,add,1,5,0.5,radish,1,S,,
ID55,8.845,15.94479381,4,D,5,det,add,1,5,0.5,radish,1,S,,
ID56,11.645,15.94479381,5,D,5,det,add,1,5,0.5,radish,1,S,,
ID57,14.445,15.94479381,6,D,5,det,add,1,5,0.5,radish,1,S,,
ID58,17.245,15.94479381,7,D,5,det,add,1,5,0.5,radish,1,C,,
ID59,20.045,15.94479381,8,D,5,det,add,1,5,0.5,radish,1,C,,
ID60,22.845,15.94479381,9,D,5,det,add,1,5,0.5,radish,1,S,,
ID61,1.845,18.36966494,1.5,C,5,det,add,1,5,0.5,radish,1,S,,
ID62,4.645,18.36966494,2.5,C,5,det,add,1,5,0.5,radish,1,S,,
ID63,7.445,18.36966494,3.5,C,5,det,add,1,5,0.5,radish,1,S,,
ID64,10.245,18.36966494,4.5,C,5,det,add,1,5,0.5,radish,1,C,,
ID65,13.045,18.36966494,5.5,C,5,det,add,1,5,0.5,radish,1,S,,
ID66,15.845,18.36966494,6.5,C,5,det,add,1,5,0.5,radish,1,S,,
ID67,18.645,18.36966494,7.5,C,5,det,add,1,5,0.5,radish,1,S,,
ID68,21.445,18.36966494,8.5,C,5,det,add,1,5,0.5,radish,1,S,,
ID69,0.445,20.79453607,1,B,5,det,add,1,5,0.5,radish,1,S,,
ID70,3.245,20.79453607,2,B,5,det,add,1,5,0.5,radish,1,S,,
ID71,6.045,20.79453607,3,B,5,det,add,1,5,0.5,radish,1,S,,
ID72,8.845,20.79453607,4,B,5,det,add,1,5,0.5,radish,1,S,,
ID73,11.645,20.79453607,5,B,5,det,add,1,5,0.5,radish,1,C,,
ID74,14.445,20.79453607,6,B,5,det,add,1,5,0.5,radish,1,S,,
ID75,17.245,20.79453607,7,B,5,det,add,1,5,0.5,radish,1,S,,
ID76,20.045,20.79453607,8,B,5,det,add,1,5,0.5,radish,1,S,,
ID77,22.845,20.79453607,9,B,5,det,add,1,5,0.5,radish,1,S,,
ID78,1.845,23.2194072,1.5,A,5,det,add,1,5,0.5,radish,1,S,,
ID79,4.645,23.2194072,2.5,A,5,det,add,1,5,0.5,radish,1,S,,
ID80,7.445,23.2194072,3.5,A,5,det,add,1,5,0.5,radish,1,S,,
ID81,10.245,23.2194072,4.5,A,5,det,add,1,5,0.5,radish,1,S,,
ID82,13.045,23.2194072,5.5,A,5,det,add,1,5,0.5,radish,1,S,,
ID83,15.845,23.2194072,6.5,A,5,det,add,1,5,0.5,radish,1,C,,
ID84,18.645,23.2194072,7.5,A,5,det,add,1,5,0.5,radish,1,S,,
ID85,21.445,23.2194072,8.5,A,5,det,add,1,5,0.5,radish,1,S,,
ID1,0.445,1.395567025,1,J,6,det,add,1,6,0.5,radish,1,S,,
ID2,3.245,1.395567025,2,J,6,det,add,1,6,0.5,radish,1,S,,
ID3,6.045,1.395567025,3,J,6,det,add,1,6,0.5,radish,1,S,,
ID4,8.845,1.395567025,4,J,6,det,add,1,6,0.5,radish,1,S,,
ID5,11.645,1.395567025,5,J,6,det,add,1,6,0.5,radish,1,C,,
ID6,14.445,1.395567025,6,J,6,det,add,1,6,0.5,radish,1,S,,
ID7,17.245,1.395567025,7,J,6,det,add,1,6,0.5,radish,1,S,,
ID8,20.045,1.395567025,8,J,6,det,add,1,6,0.5,radish,1,S,,
ID9,22.845,1.395567025,9,J,6,det,add,1,6,0.5,radish,1,S,,
ID10,1.845,3.820438156,1.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID11,4.645,3.820438156,2.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID12,7.445,3.820438156,3.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID13,10.245,3.820438156,4.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID14,13.045,3.820438156,5.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID15,15.845,3.820438156,6.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID16,18.645,3.820438156,7.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID17,21.445,3.820438156,8.5,I,6,det,add,1,6,0.5,radish,1,S,,
ID18,0.445,6.245309287,1,H,6,det,add,1,6,0.5,radish,1,S,,
ID19,3.245,6.245309287,2,H,6,det,add,1,6,0.5,radish,1,S,,
ID20,6.045,6.245309287,3,H,6,det,add,1,6,0.5,radish,1,S,,
ID21,8.845,6.245309287,4,H,6,det,add,1,6,0.5,radish,1,C,,
ID22,11.645,6.245309287,5,H,6,det,add,1,6,0.5,radish,1,S,,
ID23,14.445,6.245309287,6,H,6,det,add,1,6,0.5,radish,1,S,,
ID24,17.245,6.245309287,7,H,6,det,add,1,6,0.5,radish,1,S,,
ID25,20.045,6.245309287,8,H,6,det,add,1,6,0.5,radish,1,S,,
ID26,22.845,6.245309287,9,H,6,det,add,1,6,0.5,radish,1,S,,
ID27,1.845,8.670180417,1.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID28,4.645,8.670180417,2.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID29,7.445,8.670180417,3.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID30,10.245,8.670180417,4.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID31,13.045,8.670180417,5.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID32,15.845,8.670180417,6.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID33,18.645,8.670180417,7.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID34,21.445,8.670180417,8.5,G,6,det,add,1,6,0.5,radish,1,S,,
ID35,0.445,11.09505155,1,F,6,det,add,1,6,0.5,radish,1,S,,
ID36,3.245,11.09505155,2,F,6,det,add,1,6,0.5,radish,1,S,,
ID37,6.045,11.09505155,3,F,6,det,add,1,6,0.5,radish,1,S,,
ID38,8.845,11.09505155,4,F,6,det,add,1,6,0.5,radish,1,S,,
ID39,11.645,11.09505155,5,F,6,det,add,1,6,0.5,radish,1,C,,
ID40,14.445,11.09505155,6,F,6,det,add,1,6,0.5,radish,1,S,,
ID41,17.245,11.09505155,7,F,6,det,add,1,6,0.5,radish,1,S,,
ID42,20.045,11.09505155,8,F,6,det,add,1,6,0.5,radish,1,S,,
ID43,22.845,11.09505155,9,F,6,det,add,1,6,0.5,radish,1,S,,
ID44,1.845,13.51992268,1.5,E,6,det,add,1,6,0.5,radish,1,S,,
ID45,4.645,13.51992268,2.5,E,6,det,add,1,6,0.5,radish,1,S,,
ID46,7.445,13.51992268,3.5,E,6,det,add,1,6,0.5,radish,1,S,,
ID47,10.245,13.51992268,4.5,E,6,det,add,1,6,0.5,radish,1,C,,
ID48,13.045,13.51992268,5.5,E,6,det,add,1,6,0.5,radish,1,S,,
ID49,15.845,13.51992268,6.5,E,6,det,add,1,6,0.5,radish,1,C,,
ID50,18.645,13.51992268,7.5,E,6,det,add,1,6,0.5,radish,1,C,,
ID51,21.445,13.51992268,8.5,E,6,det,add,1,6,0.5,radish,1,S,,
ID52,0.445,15.94479381,1,D,6,det,add,1,6,0.5,radish,1,S,,
ID53,3.245,15.94479381,2,D,6,det,add,1,6,0.5,radish,1,S,,
ID54,6.045,15.94479381,3,D,6,det,add,1,6,0.5,radish,1,C,,
ID55,8.845,15.94479381,4,D,6,det,add,1,6,0.5,radish,1,S,,
ID56,11.645,15.94479381,5,D,6,det,add,1,6,0.5,radish,1,S,,
ID57,14.445,15.94479381,6,D,6,det,add,1,6,0.5,radish,1,S,,
ID58,17.245,15.94479381,7,D,6,det,add,1,6,0.5,radish,1,S,,
ID59,20.045,15.94479381,8,D,6,det,add,1,6,0.5,radish,1,S,,
ID60,22.845,15.94479381,9,D,6,det,add,1,6,0.5,radish,1,S,,
ID61,1.845,18.36966494,1.5,C,6,det,add,1,6,0.5,radish,1,S,,
ID62,4.645,18.36966494,2.5,C,6,det,add,1,6,0.5,radish,1,S,,
ID63,7.445,18.36966494,3.5,C,6,det,add,1,6,0.5,radish,1,S,,
ID64,10.245,18.36966494,4.5,C,6,det,add,1,6,0.5,radish,1,C,,
ID65,13.045,18.36966494,5.5,C,6,det,add,1,6,0.5,radish,1,S,,
ID66,15.845,18.36966494,6.5,C,6,det,add,1,6,0.5,radish,1,S,,
ID67,18.645,18.36966494,7.5,C,6,det,add,1,6,0.5,radish,1,S,,
ID68,21.445,18.36966494,8.5,C,6,det,add,1,6,0.5,radish,1,S,,
ID69,0.445,20.79453607,1,B,6,det,add,1,6,0.5,radish,1,C,,
ID70,3.245,20.79453607,2,B,6,det,add,1,6,0.5,radish,1,S,,
ID71,6.045,20.79453607,3,B,6,det,add,1,6,0.5,radish,1,S,,
ID72,8.845,20.79453607,4,B,6,det,add,1,6,0.5,radish,1,C,,
ID73,11.645,20.79453607,5,B,6,det,add,1,6,0.5,radish,1,S,,
ID74,14.445,20.79453607,6,B,6,det,add,1,6,0.5,radish,1,S,,
ID75,17.245,20.79453607,7,B,6,det,add,1,6,0.5,radish,1,S,,
ID76,20.045,20.79453607,8,B,6,det,add,1,6,0.5,radish,1,S,,
ID77,22.845,20.79453607,9,B,6,det,add,1,6,0.5,radish,1,S,,
ID78,1.845,23.2194072,1.5,A,6,det,add,1,6,0.5,radish,1,S,,
ID79,4.645,23.2194072,2.5,A,6,det,add,1,6,0.5,radish,1,C,,
ID80,7.445,23.2194072,3.5,A,6,det,add,1,6,0.5,radish,1,S,,
ID81,10.245,23.2194072,4.5,A,6,det,add,1,6,0.5,radish,1,S,,
ID82,13.045,23.2194072,5.5,A,6,det,add,1,6,0.5,radish,1,S,,
ID83,15.845,23.2194072,6.5,A,6,det,add,1,6,0.5,radish,1,C,,
ID84,18.645,23.2194072,7.5,A,6,det,add,1,6,0.5,radish,1,S,,
ID85,21.445,23.2194072,8.5,A,6,det,add,1,6,0.5,radish,1,S,,
ID1,0.445,1.395567025,1,J,7,det,add,1,7,0.5,radish,1,S,,
ID2,3.245,1.395567025,2,J,7,det,add,1,7,0.5,radish,1,S,,
ID3,6.045,1.395567025,3,J,7,det,add,1,7,0.5,radish,1,C,,
ID4,8.845,1.395567025,4,J,7,det,add,1,7,0.5,radish,1,C,,
ID5,11.645,1.395567025,5,J,7,det,add,1,7,0.5,radish,1,S,,
ID6,14.445,1.395567025,6,J,7,det,add,1,7,0.5,radish,1,C,,
ID7,17.245,1.395567025,7,J,7,det,add,1,7,0.5,radish,1,S,,
ID8,20.045,1.395567025,8,J,7,det,add,1,7,0.5,radish,1,S,,
ID9,22.845,1.395567025,9,J,7,det,add,1,7,0.5,radish,1,S,,
ID10,1.845,3.820438156,1.5,I,7,det,add,1,7,0.5,radish,1,S,,
ID11,4.645,3.820438156,2.5,I,7,det,add,1,7,0.5,radish,1,S,,
ID12,7.445,3.820438156,3.5,I,7,det,add,1,7,0.5,radish,1,S,,
ID13,10.245,3.820438156,4.5,I,7,det,add,1,7,0.5,radish,1,S,,
ID14,13.045,3.820438156,5.5,I,7,det,add,1,7,0.5,radish,1,S,,
ID15,15.845,3.820438156,6.5,I,7,det,add,1,7,0.5,radish,1,C,,
ID16,18.645,3.820438156,7.5,I,7,det,add,1,7,0.5,radish,1,C,,
ID17,21.445,3.820438156,8.5,I,7,det,add,1,7,0.5,radish,1,S,,
ID18,0.445,6.245309287,1,H,7,det,add,1,7,0.5,radish,1,C,,
ID19,3.245,6.245309287,2,H,7,det,add,1,7,0.5,radish,1,S,,
ID20,6.045,6.245309287,3,H,7,det,add,1,7,0.5,radish,1,C,,
ID21,8.845,6.245309287,4,H,7,det,add,1,7,0.5,radish,1,S,,
ID22,11.645,6.245309287,5,H,7,det,add,1,7,0.5,radish,1,S,,
ID23,14.445,6.245309287,6,H,7,det,add,1,7,0.5,radish,1,S,,
ID24,17.245,6.245309287,7,H,7,det,add,1,7,0.5,radish,1,S,,
ID25,20.045,6.245309287,8,H,7,det,add,1,7,0.5,radish,1,S,,
ID26,22.845,6.245309287,9,H,7,det,add,1,7,0.5,radish,1,S,,
ID27,1.845,8.670180417,1.5,G,7,det,add,1,7,0.5,radish,1,S,,
ID28,4.645,8.670180417,2.5,G,7,det,add,1,7,0.5,radish,1,S,,
ID29,7.445,8.670180417,3.5,G,7,det,add,1,7,0.5,radish,1,S,,
ID30,10.245,8.670180417,4.5,G,7,det,add,1,7,0.5,radish,1,S,,
ID31,13.045,8.670180417,5.5,G,7,det,add,1,7,0.5,radish,1,S,,
ID32,15.845,8.670180417,6.5,G,7,det,add,1,7,0.5,radish,1,C,,
ID33,18.645,8.670180417,7.5,G,7,det,add,1,7,0.5,radish,1,S,,
ID34,21.445,8.670180417,8.5,G,7,det,add,1,7,0.5,radish,1,S,,
ID35,0.445,11.09505155,1,F,7,det,add,1,7,0.5,radish,1,S,,
ID36,3.245,11.09505155,2,F,7,det,add,1,7,0.5,radish,1,S,,
ID37,6.045,11.09505155,3,F,7,det,add,1,7,0.5,radish,1,S,,
ID38,8.845,11.09505155,4,F,7,det,add,1,7,0.5,radish,1,S,,
ID39,11.645,11.09505155,5,F,7,det,add,1,7,0.5,radish,1,S,,
ID40,14.445,11.09505155,6,F,7,det,add,1,7,0.5,radish,1,S,,
ID41,17.245,11.09505155,7,F,7,det,add,1,7,0.5,radish,1,S,,
ID42,20.045,11.09505155,8,F,7,det,add,1,7,0.5,radish,1,S,,
ID43,22.845,11.09505155,9,F,7,det,add,1,7,0.5,radish,1,S,,
ID44,1.845,13.51992268,1.5,E,7,det,add,1,7,0.5,radish,1,S,,
ID45,4.645,13.51992268,2.5,E,7,det,add,1,7,0.5,radish,1,C,,
ID46,7.445,13.51992268,3.5,E,7,det,add,1,7,0.5,radish,1,S,,
ID47,10.245,13.51992268,4.5,E,7,det,add,1,7,0.5,radish,1,S,,
ID48,13.045,13.51992268,5.5,E,7,det,add,1,7,0.5,radish,1,S,,
ID49,15.845,13.51992268,6.5,E,7,det,add,1,7,0.5,radish,1,S,,
ID50,18.645,13.51992268,7.5,E,7,det,add,1,7,0.5,radish,1,S,,
ID51,21.445,13.51992268,8.5,E,7,det,add,1,7,0.5,radish,1,S,,
ID52,0.445,15.94479381,1,D,7,det,add,1,7,0.5,radish,1,S,,
ID53,3.245,15.94479381,2,D,7,det,add,1,7,0.5,radish,1,C,,
ID54,6.045,15.94479381,3,D,7,det,add,1,7,0.5,radish,1,S,,
ID55,8.845,15.94479381,4,D,7,det,add,1,7,0.5,radish,1,S,,
ID56,11.645,15.94479381,5,D,7,det,add,1,7,0.5,radish,1,C,,
ID57,14.445,15.94479381,6,D,7,det,add,1,7,0.5,radish,1,S,,
ID58,17.245,15.94479381,7,D,7,det,add,1,7,0.5,radish,1,S,,
ID59,20.045,15.94479381,8,D,7,det,add,1,7,0.5,radish,1,S,,
ID60,22.845,15.94479381,9,D,7,det,add,1,7,0.5,radish,1,S,,
ID61,1.845,18.36966494,1.5,C,7,det,add,1,7,0.5,radish,1,S,,
ID62,4.645,18.36966494,2.5,C,7,det,add,1,7,0.5,radish,1,S,,
ID63,7.445,18.36966494,3.5,C,7,det,add,1,7,0.5,radish,1,S,,
ID64,10.245,18.36966494,4.5,C,7,det,add,1,7,0.5,radish,1,S,,
ID65,13.045,18.36966494,5.5,C,7,det,add,1,7,0.5,radish,1,S,,
ID66,15.845,18.36966494,6.5,C,7,det,add,1,7,0.5,radish,1,S,,
ID67,18.645,18.36966494,7.5,C,7,det,add,1,7,0.5,radish,1,S,,
ID68,21.445,18.36966494,8.5,C,7,det,add,1,7,0.5,radish,1,C,,
ID69,0.445,20.79453607,1,B,7,det,add,1,7,0.5,radish,1,S,,
ID70,3.245,20.79453607,2,B,7,det,add,1,7,0.5,radish,1,S,,
ID71,6.045,20.79453607,3,B,7,det,add,1,7,0.5,radish,1,S,,
ID72,8.845,20.79453607,4,B,7,det,add,1,7,0.5,radish,1,S,,
ID73,11.645,20.79453607,5,B,7,det,add,1,7,0.5,radish,1,S,,
ID74,14.445,20.79453607,6,B,7,det,add,1,7,0.5,radish,1,S,,
ID75,17.245,20.79453607,7,B,7,det,add,1,7,0.5,radish,1,S,,
ID76,20.045,20.79453607,8,B,7,det,add,1,7,0.5,radish,1,S,,
ID77,22.845,20.79453607,9,B,7,det,add,1,7,0.5,radish,1,S,,
ID78,1.845,23.2194072,1.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID79,4.645,23.2194072,2.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID80,7.445,23.2194072,3.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID81,10.245,23.2194072,4.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID82,13.045,23.2194072,5.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID83,15.845,23.2194072,6.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID84,18.645,23.2194072,7.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID85,21.445,23.2194072,8.5,A,7,det,add,1,7,0.5,radish,1,S,,
ID1,0.445,1.395567025,1,J,8,det,add,1,8,0.5,radish,1,S,,
ID2,3.245,1.395567025,2,J,8,det,add,1,8,0.5,radish,1,S,,
ID3,6.045,1.395567025,3,J,8,det,add,1,8,0.5,radish,1,C,,
ID4,8.845,1.395567025,4,J,8,det,add,1,8,0.5,radish,1,S,,
ID5,11.645,1.395567025,5,J,8,det,add,1,8,0.5,radish,1,S,,
ID6,14.445,1.395567025,6,J,8,det,add,1,8,0.5,radish,1,C,,
ID7,17.245,1.395567025,7,J,8,det,add,1,8,0.5,radish,1,S,,
ID8,20.045,1.395567025,8,J,8,det,add,1,8,0.5,radish,1,C,,
ID9,22.845,1.395567025,9,J,8,det,add,1,8,0.5,radish,1,S,,
ID10,1.845,3.820438156,1.5,I,8,det,add,1,8,0.5,radish,1,S,,
ID11,4.645,3.820438156,2.5,I,8,det,add,1,8,0.5,radish,1,S,,
ID12,7.445,3.820438156,3.5,I,8,det,add,1,8,0.5,radish,1,S,,
ID13,10.245,3.820438156,4.5,I,8,det,add,1,8,0.5,radish,1,C,,
ID14,13.045,3.820438156,5.5,I,8,det,add,1,8,0.5,radish,1,S,,
ID15,15.845,3.820438156,6.5,I,8,det,add,1,8,0.5,radish,1,S,,
ID16,18.645,3.820438156,7.5,I,8,det,add,1,8,0.5,radish,1,S,,
ID17,21.445,3.820438156,8.5,I,8,det,add,1,8,0.5,radish,1,C,,
ID18,0.445,6.245309287,1,H,8,det,add,1,8,0.5,radish,1,S,,
ID19,3.245,6.245309287,2,H,8,det,add,1,8,0.5,radish,1,S,,
ID20,6.045,6.245309287,3,H,8,det,add,1,8,0.5,radish,1,S,,
ID21,8.845,6.245309287,4,H,8,det,add,1,8,0.5,radish,1,S,,
ID22,11.645,6.245309287,5,H,8,det,add,1,8,0.5,radish,1,S,,
ID23,14.445,6.245309287,6,H,8,det,add,1,8,0.5,radish,1,S,,
ID24,17.245,6.245309287,7,H,8,det,add,1,8,0.5,radish,1,S,,
ID25,20.045,6.245309287,8,H,8,det,add,1,8,0.5,radish,1,S,,
ID26,22.845,6.245309287,9,H,8,det,add,1,8,0.5,radish,1,S,,
ID27,1.845,8.670180417,1.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID28,4.645,8.670180417,2.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID29,7.445,8.670180417,3.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID30,10.245,8.670180417,4.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID31,13.045,8.670180417,5.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID32,15.845,8.670180417,6.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID33,18.645,8.670180417,7.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID34,21.445,8.670180417,8.5,G,8,det,add,1,8,0.5,radish,1,S,,
ID35,0.445,11.09505155,1,F,8,det,add,1,8,0.5,radish,1,S,,
ID36,3.245,11.09505155,2,F,8,det,add,1,8,0.5,radish,1,S,,
ID37,6.045,11.09505155,3,F,8,det,add,1,8,0.5,radish,1,S,,
ID38,8.845,11.09505155,4,F,8,det,add,1,8,0.5,radish,1,S,,
ID39,11.645,11.09505155,5,F,8,det,add,1,8,0.5,radish,1,S,,
ID40,14.445,11.09505155,6,F,8,det,add,1,8,0.5,radish,1,S,,
ID41,17.245,11.09505155,7,F,8,det,add,1,8,0.5,radish,1,S,,
ID42,20.045,11.09505155,8,F,8,det,add,1,8,0.5,radish,1,S,,
ID43,22.845,11.09505155,9,F,8,det,add,1,8,0.5,radish,1,S,,
ID44,1.845,13.51992268,1.5,E,8,det,add,1,8,0.5,radish,1,S,,
ID45,4.645,13.51992268,2.5,E,8,det,add,1,8,0.5,radish,1,S,,
ID46,7.445,13.51992268,3.5,E,8,det,add,1,8,0.5,radish,1,S,,
ID47,10.245,13.51992268,4.5,E,8,det,add,1,8,0.5,radish,1,S,,
ID48,13.045,13.51992268,5.5,E,8,det,add,1,8,0.5,radish,1,S,,
ID49,15.845,13.51992268,6.5,E,8,det,add,1,8,0.5,radish,1,S,,
ID50,18.645,13.51992268,7.5,E,8,det,add,1,8,0.5,radish,1,C,,
ID51,21.445,13.51992268,8.5,E,8,det,add,1,8,0.5,radish,1,C,,
ID52,0.445,15.94479381,1,D,8,det,add,1,8,0.5,radish,1,S,,
ID53,3.245,15.94479381,2,D,8,det,add,1,8,0.5,radish,1,C,,
ID54,6.045,15.94479381,3,D,8,det,add,1,8,0.5,radish,1,C,,
ID55,8.845,15.94479381,4,D,8,det,add,1,8,0.5,radish,1,S,,
ID56,11.645,15.94479381,5,D,8,det,add,1,8,0.5,radish,1,S,,
ID57,14.445,15.94479381,6,D,8,det,add,1,8,0.5,radish,1,S,,
ID58,17.245,15.94479381,7,D,8,det,add,1,8,0.5,radish,1,S,,
ID59,20.045,15.94479381,8,D,8,det,add,1,8,0.5,radish,1,S,,
ID60,22.845,15.94479381,9,D,8,det,add,1,8,0.5,radish,1,S,,
ID61,1.845,18.36966494,1.5,C,8,det,add,1,8,0.5,radish,1,S,,
ID62,4.645,18.36966494,2.5,C,8,det,add,1,8,0.5,radish,1,S,,
ID63,7.445,18.36966494,3.5,C,8,det,add,1,8,0.5,radish,1,S,,
ID64,10.245,18.36966494,4.5,C,8,det,add,1,8,0.5,radish,1,S,,
